epoch,accuracy,kl_loss,loss,vae_loss,xent_loss
0,0.047564425,6.130937,5041.503244707661,5041.503,5035.372
1,0.047553446,6.126763,5041.389207409275,5041.3896,5035.262
2,0.04757967,6.180726,5041.575289818548,5041.5747,5035.395
3,0.0475443,6.1404853,5041.590725806452,5041.5913,5035.451
4,0.047687,6.077045,5041.3854114163305,5041.3853,5035.3096
5,0.04746502,6.0654216,5041.389254662298,5041.389,5035.3237
6,0.04750161,6.1407633,5041.469962827621,5041.47,5035.3296
7,0.047482707,6.1050496,5041.466135332661,5041.4673,5035.3613
8,0.04756747,6.08386,5041.340158770161,5041.34,5035.256
9,0.047626626,6.133859,5041.550907258064,5041.5503,5035.417
10,0.047411352,6.113815,5041.528446320564,5041.5283,5035.4146
11,0.04789008,6.0950027,5041.281848538307,5041.282,5035.186
12,0.047866903,6.128179,5041.303033644153,5041.3027,5035.175
13,0.047530882,6.1356764,5041.4521326864915,5041.4517,5035.316
